Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple,Pass Rate (1st Sem),Pass Rate (2nd Sem),Total Approved Units,Total Enrolled Units,Total Evaluated Units,Grade Difference,Load Category,Debt Risk,Tuition Stable,Socioeconomic Stress Score,Financial Hardship,Econ_Disadvantage
Single,2nd phase—general contingent,5,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Other—11th Year,Service/Sales/Security,Unskilled Workers,Yes,0,0,1,Male,0,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Secondary_Incomplete,Secondary/Technical,Secondary/Technical,Arts,LowSkill,LowSkill,General,5,Single,Portuguese,0.0,0.0,0,0,0,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,International student (bachelor),1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Technicians & Professionals,Technicians & Professionals,Yes,0,0,0,Male,0,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Management,Technical,Technical,International,1,Single,Portuguese,1.0,1.0,12,12,12,-0.3333333333333339,Low Load,0,0,13.6,-0.37974683544303794,1
Single,1st phase—general contingent,5,Communication Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,0,Male,0,19,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,5,Single,Portuguese,0.0,0.0,0,12,12,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Technicians & Professionals,Yes,0,0,1,Female,0,20,No,0,6,6,6,13.428571428571429,0,0,6,6,5,12.4,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,Technical,General,2,Single,Portuguese,1.0,0.8333333333333334,11,12,12,-1.0285714285714285,Low Load,0,0,8.6,0.25641025641025644,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,6,6,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Unknown,1,Married,Portuguese,0.8333333333333334,1.0,11,12,12,0.6666666666666661,Low Load,0,0,13.6,-0.37974683544303794,0
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,0,1,1,Male,0,34,No,0,5,5,5,11.857142857142858,0,0,5,0,5,11.5,5,16.2,0.3,-0.92,Graduate,Basic,Basic,Secondary/Technical,Management,LowSkill,Skilled,Unknown,1,Married,Portuguese,1.0,1.0,10,10,5,-0.35714285714285765,Low Load,0,0,16.5,-0.3260869565217391,1
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,0,0,1,Female,1,18,No,0,7,7,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,ArmedForces,General,1,Single,Portuguese,1.0,1.0,15,15,15,1.045,Low Load,0,0,18.3,-0.6896551724137931,1
Single,3rd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,0,Male,0,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,4,Single,Portuguese,0.0,0.0,0,10,10,0.0,Low Load,0,0,18.3,-0.6896551724137931,1
Single,1st phase—general contingent,3,Social Service,Daytime,Secondary education,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,21,Yes,0,6,6,6,13.875,0,0,6,6,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,3,Single,Europe,1.0,1.0,12,12,12,0.26785714285714235,Low Load,0,0,16.5,-0.3260869565217391,1
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,0,1,0,Female,0,18,No,0,6,6,5,11.4,0,0,6,6,2,13.5,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,Skilled,General,1,Single,Portuguese,0.8333333333333334,0.3333333333333333,7,12,12,2.0999999999999996,Low Load,0,0,10.3,0.39886039886039887,2
