Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple
Single,2nd phase—general contingent,5,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Other—11th Year,Service/Sales/Security,Unskilled Workers,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Secondary_Incomplete,Secondary/Technical,Secondary/Technical,Arts,LowSkill,LowSkill,General,5,Single,Portuguese
Single,International student (bachelor),1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Technicians & Professionals,Technicians & Professionals,Yes,No,No,No,Male,No,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Management,Technical,Technical,International,1,Single,Portuguese
Single,1st phase—general contingent,5,Communication Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,19,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,5,Single,Portuguese
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Technicians & Professionals,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,13.428571428571429,0,0,6,6,5,12.4,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,Technical,General,2,Single,Portuguese
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,34,No,0,6,6,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Unknown,1,Married,Portuguese
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,No,Yes,Yes,Male,No,34,No,0,5,5,5,11.857142857142858,0,0,5,0,5,11.5,5,16.2,0.3,-0.92,Graduate,Basic,Basic,Secondary/Technical,Management,LowSkill,Skilled,Unknown,1,Married,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,ArmedForces,General,1,Single,Portuguese
Single,3rd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,4,Single,Portuguese
Single,1st phase—general contingent,3,Social Service,Daytime,Secondary education,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,21,Yes,0,6,6,6,13.875,0,0,6,6,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,3,Single,Europe
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,Yes,No,Female,No,18,No,0,6,6,5,11.4,0,0,6,6,2,13.5,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,6,5,14.2,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,LowSkill,General,2,Single,Portuguese
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,21,No,0,6,6,6,10.571428571428571,0,0,6,6,5,11.0,0,8.9,1.4,3.51,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Female,Yes,18,No,0,5,5,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,Technical,General,1,Single,Portuguese
Single,3rd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Machine Operators,Yes,No,No,Yes,Female,No,18,No,0,6,6,1,12.0,0,0,6,6,2,11.0,0,10.8,1.4,1.74,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Administrative Staff,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,LowSkill,Skilled,General,2,Single,Portuguese
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Technicians & Professionals,Service/Sales/Security,Yes,No,No,Yes,Female,No,20,No,0,5,4,4,12.5,1,0,5,3,4,12.25,2,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,HigherEd,Agriculture,Technical,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,7,6,13.5,0,16.2,0.3,-0.92,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Machine Operators,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Arts,LowSkill,LowSkill,General,3,Single,Portuguese
Single,3rd phase—general contingent,4,Oral Hygiene,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,No,20,No,0,7,7,7,11.4375,0,0,8,8,8,11.425,0,12.7,3.7,-1.7,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,4,Single,Portuguese
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Legislative/Executive Officers,Legislative/Executive Officers,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,12.857142857142858,0,0,8,8,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,ArmedForces,ArmedForces,General,4,Single,Portuguese
Single,1st phase—general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.375,0,0,6,6,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,General,4,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Skilled Industry Workers,No,No,No,Yes,Female,No,19,No,0,7,7,6,13.296666666666669,0,0,8,8,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Technical,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,6,5,11.6,0,0,6,6,4,11.0,0,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Machine Operators,Yes,No,No,Yes,Female,No,21,No,0,6,6,6,11.375,0,0,6,6,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,General,2,Single,Portuguese
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Technicians & Professionals,Yes,No,No,Yes,Female,No,18,No,0,5,3,5,12.666666666666666,2,0,5,5,4,13.0,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,Technical,Technical,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,20,No,0,5,5,5,12.0,0,0,5,5,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Legislative/Executive Officers,Armed Forces,Yes,No,No,Yes,Male,No,19,No,0,7,7,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,HigherEd,Secondary/Technical,HigherEd,Health,ArmedForces,ArmedForces,General,2,Single,Portuguese
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Master’s Degree,Doctorate,Administrative Staff,Scientific Specialists,No,No,No,Yes,Male,No,21,No,0,6,6,5,11.857142857142858,0,0,6,6,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,Doctorate,Secondary/Technical,Doctorate,Agriculture,Skilled,Professional,Transfer/Other,1,Single,Portuguese
Single,Change in institution/course,1,Communication Design,Daytime,Secondary education,Portuguese,Basic Edu 1st Cycle,Higher Education Degree,Other Armed Forces,Finance/Admin Specialists,Yes,No,No,Yes,Male,No,20,No,2,6,6,6,12.833333333333334,0,0,6,6,4,13.4,0,8.9,1.4,3.51,Graduate,HigherEd,Secondary/Technical,Basic,Communication,ArmedForces,Professional,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Farmers/Ag Workers,No,No,No,No,Male,No,18,No,0,5,5,3,11.333333333333334,0,0,5,5,2,13.5,0,8.9,1.4,3.51,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,Skilled,LowSkill,General,1,Single,Portuguese
Single,3rd phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Service/Sales/Security,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,6,6,14.375,0,12.4,0.5,1.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Bachelor’s Degree,Basic Edu 1st Cycle,Technicians & Professionals,Unskilled Workers,No,No,No,Yes,Male,No,34,No,0,5,5,5,12.4,0,0,5,5,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,HigherEd,Management,Technical,LowSkill,General,1,Single,Portuguese
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,No,Yes,No,Male,No,34,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Energy,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year—not completed,Portuguese,2nd cycle general high school,Basic Edu 1st Cycle,Student,Student,Yes,No,No,Yes,Male,No,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary_Incomplete,Secondary/Technical,Engineering,Unemployed,Unemployed,Unknown,1,Single,Portuguese
